transportadora,cnpj,codigo,rota,cidade,razao_social,nome_mapa,latitude,longitude,codigo_ibge,tipo_match,fonte_coordenada
BRASPRESS IPN,60.774.206/0001-09,1785,2,CARAPICUIBA,DROGARIA NOVA GERACAO,Carapicuíba,-23.5235,-46.8407,3510609,município,Base Municipios-Brasileiros
BRASPRESS IPN,65.120.013/0001-40,,2,CARATINGA,DROGARIA SANGLARD LTDA,Caratinga,-19.7868,-42.1292,3113404,município,Base Municipios-Brasileiros
BRASPRESS IPN,16.830.844/0003-61,742,2,CARATINGA,RPX DROGARIA E PERFUMARIA LTDA- EPP,Caratinga,-19.7868,-42.1292,3113404,município,Base Municipios-Brasileiros
BRASPRESS IPN,16.830.844/0001-08,750,2,CARATINGA,RPX DROGARIA E PERFUMARIA LTDA- EPP,Caratinga,-19.7868,-42.1292,3113404,município,Base Municipios-Brasileiros
BRASPRESS IPN,04.073.376/0001-87,17,2,CARBONITA,DIDI DROGARIA E PERFUMARIA EIRELI-ME,Carbonita,-17.5255,-43.0137,3113503,município,Base Municipios-Brasileiros
BRASPRESS IPN,31.812.100/0001-46,638,2,CARIACICA,FARMÁCIA VILAÇA EIRELI,Cariacica,-20.2632,-40.4165,3201308,município,Base Municipios-Brasileiros
BRASPRESS IPN,05.816.215/0001-07,410,2,CARLOS CHAGAS,DROGARIA DOFFEMOND COSTA LTDA EPP,Carlos Chagas,-17.6973,-40.7723,3113701,município,Base Municipios-Brasileiros
BRASPRESS IPN,28.782.610/0001-03,517,2,CARMO,FARMACIA CENTRAL DE CARMO LTDA,Carmo,-21.931,-42.6046,3301207,município,Base Municipios-Brasileiros
BRASPRESS IPN,52.456.059/0001-92,1361,2,CASTELO,M.M DROGARIA LTDA,Castelo,-20.6033,-41.2031,3201407,município,Base Municipios-Brasileiros
BRASPRESS IPN,59.157.457/0001-57,1741,2,CATENDE,FARMACIA SANTANA LTDA,Catende,-8.67509,-35.7024,2604205,município,Base Municipios-Brasileiros
BRASPRESS IPN,00.930.739/0001-00,1589,2,CATIGUA,DROGARIA SAO SEBASTIAO CATIGUA LTDA,Catiguá,-21.0519,-49.0616,3511201,município,Base Municipios-Brasileiros
BRASPRESS IPN,06.031.296/0001-94,1593,2,CATIGUA,BARATO & NETO - DROGARIA LTDA,Catiguá,-21.0519,-49.0616,3511201,município,Base Municipios-Brasileiros
BRASPRESS IPN,15.718.148/0001-33,352,2,CATUJI,MIRANFARMA LTDA,Catuji,-17.3018,-41.5276,3115458,município,Base Municipios-Brasileiros
BRASPRESS IPN,45.317.858/0001-12,682,2,CAXIAS,MARIA DE GORETI BRITO SILVA LTDA,Caxias,-4.86505,-43.3617,2103000,município,Base Municipios-Brasileiros
BRASPRESS IPN,53.808.550/0001-06,1497,2,CERQUEIRA CESAR,RM SESTITO PRODUTOS FARMACEUTICOS LTDA,Cerqueira César,-23.038,-49.1655,3511409,município,Base Municipios-Brasileiros
BRASPRESS IPN,16.886.475/0001-67,384,2,CHAPADA DO NORTE,DROGARIA SANTANA CHAPADENSE LTDA ME,Chapada do Norte,-17.0881,-42.5392,3116100,município,Base Municipios-Brasileiros
BRASPRESS IPN,12.997.554/0001-94,236,2,COLATINA,DROGARIA E PERFUMARIA VIVA BEM LTDA,Colatina,-19.5493,-40.6269,3201506,município,Base Municipios-Brasileiros
BRASPRESS IPN,19.250.515/0001-78,677,2,COLATINA,LORENCINI & FIORESI LTDA ME,Colatina,-19.5493,-40.6269,3201506,município,Base Municipios-Brasileiros
BRASPRESS IPN,23.004.333/0001-94,1423,2,COLINAS DO TOCANTINS,MENDES LIMA PRODUTOS FARMACEUTICOS LTDA,Colinas do Tocantins,-8.05764,-48.4757,1705508,município,Base Municipios-Brasileiros
BRASPRESS IPN,09.633.598/0001-20,1468,2,COLINAS DO TOCANTINS,C W Comercio de produtos Ltda,Colinas do Tocantins,-8.05764,-48.4757,1705508,município,Base Municipios-Brasileiros
BRASPRESS IPN,13.335.649/0001-05,1424,2,COLMEIA,OK COMERCIO DE MEDICAMENTOS LTDA,Colméia,-8.72463,-48.7638,1716703,município,Base Municipios-Brasileiros
BRASPRESS IPN,00.662.872/0001-15,255,2,COLUNA,HERMAN VILLAMARIM GUERRA ME,Coluna,-18.2311,-42.8352,3116803,município,Base Municipios-Brasileiros
BRASPRESS IPN,42.366.473/0001-57,172,2,CONCEICAO DO CASTELO,DROGARIA BRUNA LTDA,Conceição do Castelo,-20.3639,-41.2417,3201704,município,Base Municipios-Brasileiros
BRASPRESS IPN,07.746.935/0001-60,207,2,CONCEICAO DO MATO DENTRO,DROGARIA DOS MENINOS LTDA,Conceição do Mato Dentro,-19.0344,-43.4221,3117504,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.395.845/0001-35,463,2,CONCEICAO DO MATO DENTRO,DROGARIA VITALLY LTDA-ME,Conceição do Mato Dentro,-19.0344,-43.4221,3117504,município,Base Municipios-Brasileiros
